,_Collision Id,Borough Name,_Casualty Count,_Casualty Severity,Collision Location,Latitude,Longitude
0,1240486807,Camden,1.0,Slight,"On Belsize Park Gardens, Near The Junction With Glenilla Road.",51.54760504251749,-0.16712176079153063
1,1240486821,Enfield,2.0,Slight,"On Chase Side, Near The Junction With Chase Side.",51.63652635809037,-0.13827844859358696
2,1240486824,Havering,1.0,Slight,"On Elm Park Avenue, 25 Metres East Of The Junction With Diban Avenue .",51.55168909155927,0.20102579329357523
3,1240486825,Greenwich,1.0,Slight,"On Highmead, Near The Junction With Combeside.",51.474890924079574,0.09542857953368805
4,1240486828,Lewisham,1.0,Slight,"On Grove Street, Near The Junction With Oxestalls Road.",51.48867992489148,-0.0345746316596557
5,1240486831,Greenwich,1.0,Serious,"On Plumstead High Street, 33 Metres West Of The Junction With Riverdale Road.",51.486840867665634,0.0950113640350657
6,1240486835,Lambeth,1.0,Slight,"On Effra Road, 27 Metres North Of The Junction With Saltoun Road.",51.45988236669721,-0.11544702994849325
7,1240486838,Haringey,1.0,Slight,"On High Road, 20 Metres South Of The Junction With Bromley Road N17.",51.60113563357753,-0.06781541802767038
8,1240486841,Westminster,2.0,Slight,"Location Uncertain Great Portland Street, Near The Junction With Great Cumberland / Castle Street.",51.51609899562879,-0.14105989900322913
9,1240486851,Hackney,1.0,Slight,"Location Uncertain Seven Sisters Road, 100 Metres  Junction With Queen'S Drive.",51.566955177876586,-0.10086470662241954
10,1240486863,Richmond-Upon-Thames,1.0,Slight,"On Petersham Road , Near The Junction With Sandy Lane.",51.44087394978836,-0.30337431281593735
11,1240486866,Lambeth,2.0,Serious,"On Brixton Hill, 30 Metres North Of The Junction With St Matthews Road.",51.45981122539217,-0.1166159741734903
12,1240486871,Tower Hamlets,1.0,Slight,"On Limehouse Link Tunnel, Near The Junction With Limehouse Link Tunnel From West Ferry .",51.50974234795311,-0.03306300322032874
13,1240486874,Enfield,1.0,Slight,"On Bramley Road, 5 Metres North Of The Junction With Prince George Avenue.",51.64891020070849,-0.12987866060110978
14,1240486880,Harrow,1.0,Slight,"On Sheepcote Road, 50 Metres South Of The Junction With Station Road.",51.58216123982147,-0.33095361208024265
15,1240486886,Tower Hamlets,1.0,Slight,"On Old Ford Road, Near The Junction With Victoria Park.",51.53392342371744,-0.03950409691234785
16,1240486897,Islington,1.0,Slight,"On Copenhagen Street, Near The Junction With Bemerton Street.",51.53695807210479,-0.1188403568367907
17,1240486898,Lewisham,3.0,Slight,"On Brockley Way , 50 Metres East Of The Junction With Turnham Road.",51.45557440971181,-0.042431139724348095
18,1240486900,Enfield,1.0,Slight,"(On Newdales Close, 10 Metres North Of The Junction With The Concourse.) Pin Drop And Description Text Suggest Occurred On A1010 Hertford Road",51.62613945009463,-0.057752180406218455
19,1240486907,Newham,2.0,Slight,"On Shrewsbury Road, Near The Junction With Bristol Road.",51.54318693174829,0.04213188524578552
20,1240486908,Enfield,1.0,Slight,"On Hertford Road, 5 Metres North Of The Junction With Cedar Avenue.",51.65966999547498,-0.04677602844321181
21,1240486912,Westminster,1.0,Slight,"On Stanhope Gate, Near The Junction With South Audley Street.",51.50676347743883,-0.15064785919575283
22,1240486913,Bexley,1.0,Slight,"On Blackfen Road, Near The Junction With Wellington Avenue.",51.45056258570362,0.10310834213990516
23,1240486915,Redbridge,1.0,Slight,"On South Park Drive, Near The Junction With Staines Road .",51.55249543814644,0.09359832715941378
24,1240486916,Redbridge,1.0,Slight,"On High Street, Near The Junction With Clayhall Avenue.",51.590164836937944,0.08203361418328713
25,1240486917,Greenwich,1.0,Slight,"On Blackheath Hill, Near The Junction With Lewisham Road .",51.4729708218327,-0.01542173156222623
26,1240486920,Brent,1.0,Serious,"On Neasden Lane, Nw10, Near The Junction With Prout Grove, Nw10.",51.55568246715344,-0.2503197345515159
27,1240486924,Redbridge,1.0,Slight,"On Green Lane, Near The Junction With Esso Tesco Express Entrance.",51.559766163816036,0.09334074291957693
28,1240486931,Enfield,1.0,Slight,"On Willow Road, 25 Metres North Of The Junction With Tenniswood Road. (Pin Drop Is South Of Junction)",51.65997479823247,-0.07174760298609116
29,1240486936,Bromley,1.0,Slight,"On Church Hill Wood, Near The Junction With Poverest Road.",51.39059352814335,0.09682103738362151
30,1240486941,Newham,1.0,Serious,"On Leytonstone Road, Near The Junction With Forest Lane, E15.",51.54644241670359,0.006162848500129502
31,1240486949,Newham,2.0,Slight,"On Newham Way, Near The Junction With Beckton Road.",51.51725638608026,0.018500902949734273
32,1240486951,Enfield,1.0,Serious,"On Meridian Way, 50 Metres South Of The Junction With Lea Valley Road.",51.64405068020746,-0.033340584510179454
