attribute_type,feature_value,safety_score,comfort_score
street_count,1,0.9,0.8
street_count,2,0.7,0.7
street_count,3,0.5,0.5
street_count,4,0.2,0.3
street_count,5,-0.2,-0.1
street_count,6,-0.5,-0.4
street_count,7,-0.8,-0.7
street_count,8,-2.0,-0.9
highway,turning_circle,-0.5,-0.3
highway,speed_camera,0.5,0.0
highway,traffic_signals,0.8,0.3
highway,street_lamp,0.6,0.7
highway,stop,0.3,-0.4
highway,mini_roundabout,-0.3,-0.5
highway,crossing,0.7,0.6
highway,traffic_signals;crossing,0.9,0.5
highway,elevator,0.2,-0.1
highway,give_way,0.4,-0.2
highway,motorway_junction,-1.0,-0.9
highway,turning_loop,-0.7,-0.6
junction,box,0.6,0.4
junction,intersection,0.0,-0.1
junction,yes,-0.2,-0.3
junction,roundabout,-0.8,-0.7
junction,mini_roundabout,-0.5,-0.6
junction,Fulham Cross,-0.3,-0.4
junction,crossroads,0.3,0.2
railway,switch,-0.4,-0.3
railway,level_crossing,-1.0,-0.9
railway,tram_level_crossing,-0.8,-0.7
railway,subway_entrance,0.1,-0.2
railway,crossing,-0.6,-0.5
